NO,MOVIE_NAME,YEAR,RATING,LENGTH,GENRE,SCORE
1,The Shawshank Redemption,1994,R,142,Drama,9.3
2,The Godfather,1972,R,175,"Crime, Drama",9.2
3,The Dark Knight,2008,PG-13,152,"Action, Crime, Drama",9
4,The Godfather: Part II,1974,R,202,"Crime, Drama",9
5,The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",8.9
6,Pulp Fiction,1994,R,154,"Crime, Drama",8.9
7,Schindler's List,1993,R,195,"Biography, Drama, History",8.9
8,12 Angry Men,1957,Approved,96,"Crime, Drama",8.9
9,Inception,2010,PG-13,148,"Action, Adventure, Sci-Fi",8.8
10,Fight Club,1999,R,139,Drama,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",8.8
12,Forrest Gump,1994,PG-13,142,"Drama, Romance",8.8
13,"The Good, the Bad and the Ugly",1966,R,178,Western,8.8
14,Hamilton,2020,PG-13,160,"Biography, Drama, History",8.7
15,The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama",8.7
16,The Matrix,1999,R,136,"Action, Sci-Fi",8.7
17,Goodfellas,1990,R,146,"Biography, Crime, Drama",8.7
18,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,"Action, Adventure, Fantasy",8.7
19,One Flew Over the Cuckoo's Nest,1975,R,133,Drama,8.7
20,Parasite,2019,R,132,"Comedy, Drama, Thriller",8.6
21,Interstellar,2014,PG-13,169,"Adventure, Drama, Sci-Fi",8.6
22,City of God,2002,R,130,"Crime, Drama",8.6
23,Spirited Away,2001,PG,125,"Animation, Adventure, Family",8.6
24,Saving Private Ryan,1998,R,169,"Drama, War",8.6
25,The Green Mile,1999,R,189,"Crime, Drama, Fantasy",8.6
26,Life Is Beautiful,1997,PG-13,116,"Comedy, Drama, Romance",8.6
27,Se7en,1995,R,127,"Crime, Drama, Mystery",8.6
28,The Silence of the Lambs,1991,R,118,"Crime, Drama, Thriller",8.6
29,Star Wars: Episode IV - A New Hope,1977,PG,121,"Action, Adventure, Fantasy",8.6
30,Harakiri,1962,Not Rated,133,"Action, Drama, Mystery",8.6
31,Seven Samurai,1954,Not Rated,207,"Action, Adventure, Drama",8.6
32,It's a Wonderful Life,1946,PG,130,"Drama, Family, Fantasy",8.6
33,Joker,2019,R,122,"Crime, Drama, Thriller",8.5
34,Whiplash,2014,R,106,"Drama, Music",8.5
35,The Intouchables,2011,R,112,"Biography, Comedy, Drama",8.5
